"Combination_1","Combination_2","Combination_3","Combination_4","Combination_5","Combination_6","Combination_7","Combination_8","Combination_9","Combination_10"
112,90,96,104,138,54,52,64,72,68
108,126,122,104,110,98,52,60,94,68
82,96,96,108,110,92,56,80,64,72
96,100,96,104,126,46,52,60,64,68
96,90,108,120,110,80,58,56,80,68
82,104,96,104,110,58,64,56,64,76
96,90,96,108,110,60,86,56,64,68
82,90,96,104,110,52,62,56,64,68
86,112,96,104,110,62,52,56,64,76
82,104,98,104,110,50,56,56,64,68
82,90,134,104,110,58,52,56,64,72
82,90,128,104,110,56,68,56,64,70
82,112,96,104,110,58,66,86,72,68
108,120,96,104,110,46,52,64,64,68
96,90,96,104,110,62,66,74,64,68
136,90,118,104,110,52,52,56,64,68
110,104,102,104,110,46,52,70,92,68
136,90,96,122,114,50,62,56,64,68
152,94,96,104,128,46,64,64,74,68
124,90,108,104,110,46,52,56,64,68
88,112,96,130,110,52,52,64,64,68
106,98,112,134,110,52,92,56,64,68
100,90,104,104,110,46,74,56,70,72
108,106,96,104,110,46,52,66,64,68
86,148,116,104,110,64,74,90,74,68
82,102,108,104,110,92,52,80,64,68
92,106,100,104,110,100,52,68,64,74
144,90,96,104,110,56,52,56,74,68
92,90,96,104,118,60,56,68,64,68
132,122,96,104,136,64,52,58,64,68
94,90,96,104,110,46,52,56,64,98
86,146,124,104,110,46,78,70,72,76
82,90,120,104,110,46,52,68,64,68
134,122,96,104,110,46,52,68,64,68
112,90,104,104,110,60,56,56,68,72
154,90,96,104,110,56,68,60,64,68
82,90,96,104,110,50,64,56,64,72
116,102,108,104,110,46,52,74,64,82
88,114,100,104,110,50,62,56,64,68
104,124,96,104,110,56,58,56,70,68
84,90,96,104,118,46,52,58,80,118
108,90,96,112,110,60,52,56,64,68
82,90,96,106,118,78,58,56,64,68
124,106,132,104,110,60,66,78,64,68
112,128,96,104,110,92,52,56,64,68
82,104,118,104,110,54,54,62,64,80
122,100,96,104,110,60,52,56,64,68
132,104,102,104,110,46,62,58,72,68
140,102,102,104,110,66,52,74,64,68
88,90,100,110,126,62,58,76,64,68
116,90,102,104,110,46,74,66,64,74
82,102,96,104,110,56,54,56,68,68
